id,Item,Clean?,Ironed?
0,Blue_Flannel,1,1
1,Dark_Denim,1,1
2,Dark_Navy,1,1
3,Green_Checkers,1,1
4,Green_No_Collar,1,1
5,Light_Blue,1,1
6,Light_Blue_Checkers,1,1
7,Red_Checkers,1,1
8,White,1,1
9,Yellow_Cordial,1,1
