Code,to do descirption,for me
CP124,Order in travertine,TRUE
CP127,"Order in travertine, check drawing, draw brass slips",TRUE
CP138,"Lions head, work with Mick to design",TRUE
CP144,Draw and approve,TRUE
N337,Finish drawing,TRUE
CP131,Coming at end of march,
CP140,Coming at end of march,
CP141,Ordered alongside szymons order,
